1044,8.96,22928,75,,,,,,,,,,,,,,,,,,,,
1016,8.69,22932,81,,,,,,,,,,,,,,,,,,,,
1016,8.7,22924,80,,,,,,,,,,,,,,,,,,,,
1016,8.69,22916,72,,,,,,,,,,,,,,,,,,,,
1016,8.79,22936,76,,,,,,,,,,,,,,,,,,,,
1020,8.81,22936,78,,,,,,,,,,,,,,,,,,,,
1016,8.69,22940,71,,,,,,,,,,,,,,,,,,,,
1020,8.69,22932,77,,,,,,,,,,,,,,,,,,,,
1016,8.7,22928,74,,,,,,,,,,,,,,,,,,,,
1016,8.79,22932,79,,,,,,,,,,,,,,,,,,,,
1016,8.81,22940,78,,,,,,,,,,,,,,,,,,,,
1016,8.81,22924,73,,,,,,,,,,,,,,,,,,,,
1020,8.69,22928,80,,,,,,,,,,,,,,,,,,,,
1020,8.7,22932,80,,,,,,,,,,,,,,,,,,,,
1016,8.69,22940,74,,,,,,,,,,,,,,,,,,,,
1020,8.79,22924,75,,,,,,,,,,,,,,,,,,,,
1016,8.81,22928,73,,,,,,,,,,,,,,,,,,,,
1016,8.81,22940,76,,,,,,,,,,,,,,,,,,,,
1020,8.69,22920,78,,,,,,,,,,,,,,,,,,,,
1016,8.7,22916,75,,,,,,,,,,,,,,,,,,,,
1020,8.7,22932,75,,,,,,,,,,,,,,,,,,,,
1016,8.79,22936,78,,,,,,,,,,,,,,,,,,,,
1016,8.79,22936,77,,,,,,,,,,,,,,,,,,,,
1016,8.79,22908,76,,,,,,,,,,,,,,,,Us average = ,,8.744535948,,Act = 
1020,8.7,22940,80,,,,,,,,,,,,,,,,ToF average = ,,75.14324324,7.5 cm,
1016,8.69,22940,80,,,,,,,,,,,,,,,,,,,,
1012,8.69,22944,78,,,,,,,,,,,,,,,,,,,,
1020,8.79,22924,79,,,,,,,,,,,,,,,,,,,,
1016,8.79,22936,74,,,,,,,,,,,,,,,,,,,,
1032,8.81,22936,71,,,,,,,,,,,,,,,,,,,,
1012,8.69,22912,78,,,,,,,,,,,,,,,,,,,,
1016,8.7,22904,77,,,,,,,,,,,,,,,,,,,,
1016,8.7,22940,83,,,,,,,,,,,,,,,,,,,,
1016,8.79,22936,84,,,,,,,,,,,,,,,,,,,,
1016,8.79,22936,76,,,,,,,,,,,,,,,,,,,,
1020,8.74,22908,77,,,,,,,,,,,,,,,,,,,,
1016,8.7,22944,74,,,,,,,,,,,,,,,,,,,,
1016,8.69,22944,78,,,,,,,,,,,,,,,,,,,,
1016,8.79,22920,77,,,,,,,,,,,,,,,,,,,,
1016,8.79,22920,82,,,,,,,,,,,,,,,,,,,,
1016,8.81,22936,72,,,,,,,,,,,,,,,,,,,,
1012,8.69,22952,81,,,,,,,,,,,,,,,,,,,,
1016,8.69,22948,74,,,,,,,,,,,,,,,,,,,,
1016,8.7,22940,77,,,,,,,,,,,,,,,,,,,,
1020,8.81,22932,71,,,,,,,,,,,,,,,,,,,,
1016,8.81,22916,77,,,,,,,,,,,,,,,,,,,,
1016,8.79,22920,75,,,,,,,,,,,,,,,,,,,,
1016,8.69,22928,81,,,,,,,,,,,,,,,,,,,,
1016,8.7,22936,79,,,,,,,,,,,,,,,,,,,,
1016,8.7,22932,73,,,,,,,,,,,,,,,,,,,,
1016,8.81,22928,77,,,,,,,,,,,,,,,,,,,,
1020,8.79,22936,80,,,,,,,,,,,,,,,,,,,,
1016,8.81,22944,75,,,,,,,,,,,,,,,,,,,,
1016,8.69,22928,78,,,,,,,,,,,,,,,,,,,,
1016,8.7,22924,76,,,,,,,,,,,,,,,,,,,,
1012,8.69,22928,77,,,,,,,,,,,,,,,,,,,,
1016,8.81,22948,76,,,,,,,,,,,,,,,,,,,,
1016,8.81,22928,74,,,,,,,,,,,,,,,,,,,,
1024,8.79,22928,71,,,,,,,,,,,,,,,,,,,,
1016,8.69,22928,71,,,,,,,,,,,,,,,,,,,,
1016,8.7,22940,80,,,,,,,,,,,,,,,,,,,,
1016,8.69,22924,76,,,,,,,,,,,,,,,,,,,,
1020,8.79,22920,75,,,,,,,,,,,,,,,,,,,,
1016,8.79,22932,75,,,,,,,,,,,,,,,,,,,,
