1176,11,22924,111,1
1100,9,22916,113,2
1100,9,22904,112,3
1104,9,22916,117,
1100,10,22900,112,
1100,10,22916,113,
1104,10,22940,109,
1100,9,22920,111,
1104,9,22912,112,
1104,9,22920,113,
1100,9,22900,114,
1100,10,22916,112,
1100,10,22928,115,
1104,10,22924,110,
1100,9,22924,110,
1104,9,22900,115,
1100,9,22920,115,
1104,9,22912,113,
1104,9,22920,110,
1100,10,22912,110,
1100,10,22912,111,
1104,10,22928,113,
1100,9,22932,110,
1104,9,22948,113,
1100,9,22920,116,
1100,9,22928,112,
1104,9,22916,111,
1100,10,22892,112,
1104,10,22924,110,
1108,10,22940,114,
1100,9,22928,110,
1104,9,22932,113,
1100,9,22924,110,
1100,9,22932,113,
1104,10,22920,113,
1104,10,22932,114,
1104,10,22948,118,
1108,9,22924,111,
1104,9,22888,110,
1104,9,22916,113,
1100,9,22908,113,
1104,9,22900,111,
1104,10,22908,114,
1104,10,22924,116,
1100,10,22928,113,
1100,9,22920,111,
1100,9,22920,112,
1104,9,22916,113,
1100,9,22908,110,
1100,9,22916,110,
1104,10,22892,114,
1104,10,22892,115,
1108,10,22928,115,
1100,9,22932,115,
1100,9,22928,110,
1104,9,22920,110,
1100,9,22916,112,
1104,10,22908,114,
1104,10,22924,113,
1100,10,22924,111,
1104,9,22936,110,
1100,9,22940,115,
1104,9,22920,110,
1100,9,22920,113,
1100,9,22896,111,
1104,10,22916,115,
1100,10,22920,110,
1100,10,22944,115,
1104,9,22912,113,
1100,9,22912,113,
1100,9,22908,112,
1104,9,22912,109,
1104,10,22924,114,
1104,10,22920,113,
1100,10,22908,115,
1100,9,22916,114,
1100,9,22908,117,
1100,9,22924,110,
1104,9,22908,113,
1104,9,22916,114,
1104,10,22896,112,
1104,10,22916,114,
1100,10,22916,112,
1104,9,22924,116,
1104,9,22928,109,
1100,9,22912,110,
1100,9,22908,114,
1100,9,22920,113,
1104,10,22916,112,
1100,10,22924,112,
1108,10,22932,108,
1100,9,22904,110,
1100,9,22928,113,
1104,9,22916,115,
1104,9,22920,113,
1100,10,22948,110,
1104,10,22904,111,
1100,10,22908,114,
1108,9,22908,113,
1100,9,22904,111,
1104,9,22912,113,
1100,9,22948,109,
1100,9,22920,114,
1104,10,22908,113,
1100,10,22908,108,
1100,10,22892,114,
1104,9,22908,111,
1100,9,22924,112,
1100,9,22924,112,
1100,9,22940,110,
1104,9,22924,111,
1100,10,22900,113,
1100,10,22916,110,
1108,10,22920,111,
1104,9,22912,113,
1100,9,22904,116,
1100,9,22920,113,
1104,9,22928,110,
1100,10,22928,110,
1100,10,22912,112,
1104,10,22924,112,
1104,9,22944,112,
1100,9,22904,112,
1104,9,22896,113,
1104,9,22924,114,
1100,9,22924,112,
1100,10,22924,113,
1100,10,22924,111,
1104,10,22904,112,
1100,9,22920,115,
1100,9,22920,110,
1104,9,22924,116,
1100,9,22924,113,
1100,10,22932,112,
1100,10,22912,110,
1100,10,22904,109,
1104,9,22904,112,
1100,9,22908,111,
1100,9,22908,111,
1104,9,22920,113,
1100,9,22940,112,
1100,10,22920,113,
1100,10,22912,112,
1100,10,22916,117,
1104,9,22912,110,
1100,9,22936,110,
1100,9,22928,112,
1104,9,22912,113,
1100,9,22912,112,
1100,10,22932,113,
1100,10,22924,116,
1108,10,22920,110,
1104,9,22908,114,
1100,9,22916,113,
1100,9,22912,115,
1104,9,22940,116,
1100,10,22944,113,
1100,10,22920,109,
1104,10,22908,112,
1108,9,22932,111,
1100,9,22912,112,
1100,9,22928,113,
1104,9,22908,113,
1100,9,22916,111,
1104,10,22940,116,
1100,10,22916,114,
1100,10,22932,113,
1104,9,22932,111,
1100,9,22932,113,
1100,9,22928,117,
1104,9,22920,112,
1100,9,22892,112,
1104,10,22916,111,
1104,10,22928,115,
1108,10,22916,114,
1100,9,22932,114,
1100,9,22904,115,
1104,9,22908,113,
1100,9,22928,111,
1100,10,22912,115,
1100,10,22920,113,
1104,10,22916,111,
1104,9,22924,115,
1100,9,22908,114,
1100,9,22916,110,
1104,9,22932,115,
1104,9,22908,115,
1100,10,22940,112,
1104,10,22916,112,
1104,10,22920,114,
1100,9,22924,113,
1104,9,22924,113,
1100,9,22944,114,
1100,9,22908,114,
1100,10,22916,112,
1104,10,22908,113,
1104,10,22928,110,
1100,9,22920,107,
1104,9,22920,113,
1100,9,22920,109,
1104,9,22920,112,
1100,9,22928,108,
1104,10,22928,110,
1104,10,22916,115,
1100,10,22924,115,
1100,9,22924,114,
1100,9,22944,113,
1104,9,22908,113,
1100,9,22912,109,
1104,9,22920,109,
1100,10,22928,112,
1100,10,22932,111,
1108,10,22928,112,
1104,9,22912,110,
1100,9,22920,108,
1100,9,22944,112,
1104,9,22916,112,
1100,10,22916,112,
1104,10,22912,111,
1104,10,22916,111,
1108,9,22928,110,
1104,9,22940,110,
1100,9,22916,113,
1104,9,22912,114,
1100,9,22936,108,
1100,10,22924,113,
1100,10,22908,112,
1100,10,22928,112,
1104,9,22920,111,
1100,9,22928,112,
1104,9,22904,112,
1100,9,22916,109,
1100,9,22908,112,
1104,10,22916,113,
1100,10,22920,112,
1108,10,22948,113,
1104,9,22920,111,
1100,9,22896,118,
1100,9,22904,108,
1100,9,22924,113,
1100,10,22908,113,
1100,10,22916,112,
1104,10,22924,111,
1104,9,22924,110,
1100,9,22912,115,
1100,9,22924,114,
1100,9,22916,111,
1104,9,22916,114,
1104,10,22908,111,
1100,10,22928,112,
1100,10,22916,111,
1104,9,22928,114,
1104,9,22944,113,
1100,9,22932,112,
1100,9,22920,113,
1100,10,22936,115,
1104,10,22920,114,
1100,10,22944,113,
1104,9,22916,112,
1104,9,22900,112,
1100,9,22904,114,
1100,9,22904,111,
1100,9,22908,113,
1104,10,22920,114,
1100,10,22916,111,
1100,10,22912,115,
1104,9,22932,113,
1100,9,22908,113,
1100,9,22916,109,
1100,9,22924,111,
1100,9,22936,111,
1104,10,22912,111,
1104,10,22928,110,
1108,10,22912,109,
1100,9,22908,110,
1100,9,22940,115,
1100,9,22912,115,
1100,9,22916,110,
1104,10,22920,113,
1100,10,22916,112,
1100,10,22936,114,
1108,9,22924,109,
1104,9,22920,111,
1100,9,22924,109,
1100,9,22932,110,
1104,9,22904,110,
1104,10,22908,114,
1100,10,22916,111,
1100,10,22912,113,
1104,9,22936,114,
1100,9,22912,110,
1100,9,22928,113,
1100,9,22916,112,
1100,9,22920,114,
1104,10,22916,114,
1100,10,22952,111,
1108,10,22912,111,
1104,9,22896,115,
1104,9,22916,114,
1100,9,22924,110,
1100,9,22916,113,
1100,10,22924,110,
1100,10,22928,110,
1104,10,22920,116,
1100,9,22912,111,
1104,9,22912,114,
1100,9,22920,115,
1100,9,22924,113,
1104,9,22928,112,
1104,10,22912,110,
1104,10,22896,110,
1100,10,22916,111,
1100,9,22940,113,
1104,9,22936,113,
1104,9,22920,111,
1100,9,22940,110,
1100,10,22924,112,
1100,10,22932,111,
1104,10,22916,110,
1100,9,22920,115,
1104,9,22940,112,
1100,9,22912,115,
1100,9,22908,115,
1100,9,22924,111,
1100,10,22912,111,
1104,10,22920,110,
1100,10,22940,111,
1100,9,22908,113,
1100,9,22908,111,
1100,9,22928,112,
1104,9,22920,111,
1100,9,22924,112,
1100,10,22936,109,
1100,10,22900,115,
1108,10,22908,111,
1100,9,22920,111,
1104,9,22916,108,
1100,9,22912,111,
1100,9,22916,117,
1104,10,22916,114,
1104,10,22896,112,
1100,10,22932,114,
1108,9,22916,111,
1100,9,22916,108,
1100,9,22904,113,
1104,9,22912,114,
1100,9,22888,109,
1104,10,22920,112,
1100,10,22932,109,
1100,10,22944,113,
1100,9,22904,114,
1100,9,22916,112,
1104,9,22920,113,
1104,9,22924,113,
1100,9,22932,111,
1104,10,22932,113,
1104,10,22916,116,
1108,10,22924,111,
1100,9,22920,111,
1104,9,22928,113,
1104,9,22916,109,
1100,9,22920,109,
1100,10,22936,114,
1100,10,22920,112,
1104,10,22900,114,
1104,9,22916,111,
1100,9,22912,112,
1100,9,22936,118,
1104,9,22916,114,
1104,9,22920,110,
1100,10,22912,113,
1104,10,22916,108,
1100,10,22952,111,
1104,9,22908,115,
1104,9,22916,115,
1100,9,22908,114,
1100,9,22900,110,
1100,10,22912,117,
1104,10,22952,113,
1100,10,22912,110,
1100,9,22924,113,
1100,9,22920,111,
1100,9,22908,110,
1104,9,22912,112,
1100,9,22924,111,
1100,10,22932,112,
1100,10,22928,110,
1104,10,22904,115,
1104,9,22888,114,
1100,9,22904,109,
1104,9,22920,111,
1100,9,22924,112,
1100,9,22924,115,
1104,10,22920,111,
1100,10,22900,112,
1108,10,22924,110,
1100,9,22904,111,
